λ,σ,Δσ
246.5,1.966e-18,NaN
247.0,1.923e-18,NaN
247.5,1.881e-18,NaN
248.0,1.831e-18,NaN
248.5,1.783e-18,NaN
249.0,1.738e-18,NaN
249.5,1.689e-18,NaN
250.0,1.644e-18,NaN
250.5,1.598e-18,NaN
251.0,1.549e-18,NaN
251.5,1.497e-18,NaN
252.0,1.492e-18,NaN
252.5,1.47e-18,NaN
253.0,1.424e-18,NaN
253.5,1.375e-18,NaN
254.0,1.314e-18,NaN
254.5,1.276e-18,NaN
255.0,1.219e-18,NaN
255.5,1.173e-18,NaN
256.0,1.134e-18,NaN
256.5,1.089e-18,NaN
257.0,1.048e-18,NaN
257.5,1.003e-18,NaN
258.0,9.623e-19,NaN
258.5,9.232e-19,NaN
259.0,8.912e-19,NaN
259.5,8.501e-19,NaN
260.0,8.125e-19,NaN
260.5,7.795e-19,NaN
261.0,7.464e-19,NaN
261.5,7.115e-19,NaN
262.0,6.813e-19,NaN
262.5,6.427e-19,NaN
263.0,6.141e-19,NaN
263.5,5.846e-19,NaN
264.0,5.583e-19,NaN
264.5,5.346e-19,NaN
265.0,5.011e-19,NaN
265.5,4.772e-19,NaN
266.0,4.587e-19,NaN
266.5,4.379e-19,NaN
267.0,4.087e-19,NaN
267.5,3.971e-19,NaN
268.0,3.727e-19,NaN
268.5,3.482e-19,NaN
269.0,3.398e-19,NaN
269.5,3.253e-19,NaN
270.0,3.02e-19,NaN
270.5,2.845e-19,NaN
271.0,2.697e-19,NaN
271.5,2.543e-19,NaN
272.0,2.424e-19,NaN
272.5,2.252e-19,NaN
273.0,2.207e-19,NaN
273.5,2.047e-19,NaN
274.0,1.875e-19,NaN
274.5,1.825e-19,NaN
275.0,1.685e-19,NaN
275.5,1.652e-19,NaN
276.0,1.568e-19,NaN
276.5,1.524e-19,NaN
277.0,1.456e-19,NaN
277.5,1.314e-19,NaN
278.0,1.298e-19,NaN
278.5,1.199e-19,NaN
279.0,1.198e-19,NaN
279.5,1.115e-19,NaN
280.0,1.096e-19,NaN
280.5,9.491e-20,NaN
281.0,8.925e-20,NaN
281.5,8.385e-20,NaN
282.0,7.873e-20,NaN
282.5,7.775e-20,NaN
283.0,7.23e-20,NaN
283.5,6.722e-20,NaN
284.0,6.437e-20,NaN
284.5,5.926e-20,NaN
285.0,5.621e-20,NaN
285.5,5.103e-20,NaN
286.0,4.797e-20,NaN
286.5,4.507e-20,NaN
287.0,4.247e-20,NaN
287.5,4.0e-20,NaN
288.0,3.77e-20,NaN
288.5,3.559e-20,NaN
289.0,3.347e-20,NaN
289.5,3.143e-20,NaN
290.0,2.956e-20,NaN
290.5,2.773e-20,NaN
291.0,2.601e-20,NaN
291.5,2.44e-20,NaN
292.0,2.282e-20,NaN
292.5,2.133e-20,NaN
293.0,2.001e-20,NaN
293.5,1.874e-20,NaN
294.0,1.765e-20,NaN
294.5,1.654e-20,NaN
295.0,1.551e-20,NaN
295.5,1.456e-20,NaN
296.0,1.362e-20,NaN
296.5,1.286e-20,NaN
297.0,1.202e-20,NaN
297.5,1.127e-20,NaN
298.0,1.055e-20,NaN
298.5,9.875e-21,NaN
299.0,9.301e-21,NaN
299.5,8.758e-21,NaN
300.0,8.162e-21,NaN
300.5,7.657e-21,NaN
301.0,7.181e-21,NaN
301.5,6.762e-21,NaN
302.0,6.317e-21,NaN
302.5,5.893e-21,NaN
303.0,5.601e-21,NaN
303.5,5.118e-21,NaN
304.0,4.712e-21,NaN
304.5,4.427e-21,NaN
305.0,3.736e-21,NaN
305.5,3.423e-21,NaN
306.0,3.184e-21,NaN
306.5,2.953e-21,NaN
307.0,2.754e-21,NaN
307.5,2.565e-21,NaN
308.0,2.377e-21,NaN
308.5,2.22e-21,NaN
309.0,2.068e-21,NaN
309.5,1.924e-21,NaN
310.0,1.796e-21,NaN
310.5,1.672e-21,NaN
311.0,1.544e-21,NaN
311.5,1.427e-21,NaN
312.0,1.327e-21,NaN
312.5,1.235e-21,NaN
313.0,1.157e-21,NaN
313.5,1.062e-21,NaN
314.0,9.89e-22,NaN
314.5,9.142e-22,NaN
315.0,8.552e-22,NaN
315.5,7.976e-22,NaN
316.0,7.408e-22,NaN
316.5,6.935e-22,NaN
317.0,6.387e-22,NaN
317.5,5.831e-22,NaN
318.0,5.286e-22,NaN
318.5,4.898e-22,NaN
319.0,4.548e-22,NaN
319.5,4.216e-22,NaN
320.0,3.908e-22,NaN
320.5,3.589e-22,NaN
321.0,3.369e-22,NaN
321.5,3.117e-22,NaN
322.0,2.894e-22,NaN
322.5,2.7e-22,NaN
323.0,2.493e-22,NaN
323.5,2.335e-22,NaN
324.0,2.173e-22,NaN
324.5,2.011e-22,NaN
325.0,1.881e-22,NaN
325.5,1.752e-22,NaN
326.0,1.636e-22,NaN
326.5,1.505e-22,NaN
327.0,1.41e-22,NaN
327.5,1.294e-22,NaN
328.0,1.211e-22,NaN
328.5,1.124e-22,NaN
329.0,1.054e-22,NaN
329.5,1.005e-22,NaN
330.0,9.18e-23,NaN
330.5,8.513e-23,NaN
331.0,8.112e-23,NaN
331.5,7.542e-23,NaN
332.0,6.991e-23,NaN
332.5,6.63e-23,NaN
333.0,6.169e-23,NaN
333.5,5.761e-23,NaN
334.0,5.405e-23,NaN
334.5,4.962e-23,NaN
335.0,4.667e-23,NaN
335.5,4.288e-23,NaN
336.0,4.015e-23,NaN
336.5,3.703e-23,NaN
337.0,3.508e-23,NaN
337.5,3.286e-23,NaN
338.0,2.994e-23,NaN
338.5,3.016e-23,NaN
339.0,2.865e-23,NaN
339.5,2.702e-23,NaN
340.0,2.555e-23,NaN
340.5,2.34e-23,NaN
341.0,2.101e-23,NaN
341.5,2.02e-23,NaN
342.0,1.893e-23,NaN
342.5,1.8e-23,NaN
343.0,1.712e-23,NaN
343.5,1.641e-23,NaN
344.0,1.388e-23,NaN
344.5,1.384e-23,NaN
345.0,1.278e-23,NaN
345.5,1.166e-23,NaN
346.0,1.094e-23,NaN
346.5,1.101e-23,NaN
347.0,1.02e-23,NaN
347.5,9.297e-24,NaN
348.0,8.864e-24,NaN
348.5,8.961e-24,NaN
349.0,8.266e-24,NaN
349.5,8.186e-24,NaN
350.0,7.366e-24,NaN
350.5,7.081e-24,NaN
351.0,6.69e-24,NaN
351.5,6.45e-24,NaN
352.0,6.158e-24,NaN
352.5,6.259e-24,NaN
353.0,6.573e-24,NaN
353.5,5.738e-24,NaN
354.0,4.939e-24,NaN
354.5,5.326e-24,NaN
355.0,4.655e-24,NaN
355.5,4.133e-24,NaN
356.0,3.884e-24,NaN
356.5,3.926e-24,NaN
357.0,3.14e-24,NaN
357.5,3.535e-24,NaN
358.0,3.318e-24,NaN
358.5,3.211e-24,NaN
359.0,2.629e-24,NaN
359.5,2.786e-24,NaN
360.0,2.506e-24,NaN
360.5,2.29e-24,NaN
361.0,1.776e-24,NaN
361.5,1.961e-24,NaN
362.0,1.712e-24,NaN
